                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     13,                 1.3939,                 1.3716,                 1.0909,                0.74412,                0.66379,                0.71801,                0.50518,                    nan,                    nan,                    nan,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.3495,                 1.2724,                 1.0832,                 0.7285,                0.62507,                0.69469,                0.49509,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                     15,                 1.2239,                 1.2138,                 1.0403,                0.84527,                0.64102,                0.75517,                0.53192,                    nan,                    nan,                    nan,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.2678,                 1.2448,                 1.0549,                0.84007,                0.60609,                0.72251,                0.51226,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                     17,                 1.2296,                 1.1651,                 1.0429,                0.81743,                0.60276,                0.76457,                0.54403,                    nan,                    nan,                    nan,              0.0092575,              0.0092575,              0.0092575
                     18,                  1.278,                 1.1884,                 1.0492,                0.77106,                0.59975,                0.71268,                0.50236,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     19,                 1.2369,                 1.1777,                 1.0513,                0.78737,                0.58751,                0.70949,                0.50526,                    nan,                    nan,                    nan,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.1951,                 1.1065,                 1.0277,                0.80932,                0.63963,                 0.7693,                0.55933,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     21,                 1.1917,                 1.1398,                  1.029,                0.83137,                0.66197,                0.78475,                0.57445,                    nan,                    nan,                    nan,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.1373,                 1.0419,                 1.0257,                0.81596,                0.67689,                 0.7568,                0.55785,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     23,                 1.1473,                 1.0214,                 1.0106,                0.87777,                0.64733,                0.80745,                0.58861,                    nan,                    nan,                    nan,              0.0089605,              0.0089605,              0.0089605
